journal	<div style='font-size:0.95em;color:#555'>/ˈdʒɜːnl/</div><b>n.</b> 期刊；定期刊物；日记，日志<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the academic <u>journal</u> has stood at the center of scientific research</i><br><span style='color:#666'>学术期刊一直处于科学研究的中心</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 37 (2010-2024)</div>	Day1 必背 高频
research	<div style='font-size:0.95em;color:#555'>/rɪˈsɜːtʃ/</div><b>n./v.</b> 研究，调查<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the academic journal has stood at the center of scientific <u>research</u></i><br><span style='color:#666'>学术期刊一直处于科学研究的中心</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 47 (2010-2024)</div>	Day1 必背 高频
peer	<div style='font-size:0.95em;color:#555'>/pɪə(r)/</div><b>n.</b> 同辈；同行；贵族<br><b>v.</b> 凝视，端详<br><span style='color:#888'>固定搭配: <b>peer review</b> = 同行评审</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>peer</u> review serving as its quality gate</i><br><span style='color:#666'>同行评审充当其质量把关者</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 25 (2010-2024)</div>	Day1 必背 错词 搭配
evidence	<div style='font-size:0.95em;color:#555'>/ˈevɪdəns/</div><b>n.</b> 证据；迹象；明显<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>growing <u>evidence</u> now suggests that ...</i><br><span style='color:#666'>日益增多的证据表明……</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 20 (2010-2024)</div>	Day1 必背 错词
particular	<div style='font-size:0.95em;color:#555'>/pəˈtɪkjələ/</div><b>a.</b> 特定的；详细的；挑剔的<br><b>n.</b> 详情，细节<br><span style='color:#888'>盲区词 · 摸底✓ 但审词✗</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>this <u>particular</u> section of the publishing pipeline</i><br><span style='color:#666'>出版流程中的这一特定环节</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 22 (2010-2024)</div>	Day1 必背 盲区
section	<div style='font-size:0.95em;color:#555'>/ˈsekʃn/</div><b>n.</b> 部分；章节；区域；截面<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>this particular <u>section</u> of the publishing pipeline</i><br><span style='color:#666'>出版流程中的这一特定环节</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 75 (2010-2024)</div>	Day1 必背 高频
reform	<div style='font-size:0.95em;color:#555'>/rɪˈfɔːm/</div><b>v./n.</b> 改革，改造，改良<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>in urgent need of <u>reform</u></i><br><span style='color:#666'>亟需改革</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 19 (2010-2024)</div>	Day1 必背
define	<div style='font-size:0.95em;color:#555'>/dɪˈfaɪn/</div><b>v.</b> 给…下定义；阐述；限定，规定<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>define</u> methodological standards</i><br><span style='color:#666'>定义方法论标准</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 18 (2010-2024)</div>	Day1 必背
comprehension	<div style='font-size:0.95em;color:#555'>/ˌkɒmprɪˈhenʃn/</div><b>n.</b> 理解力；领悟；包含力<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>whose <u>comprehension</u> of the subject matter determines whether the work proceeds</i><br><span style='color:#666'>他们对主题的理解决定了论文能否继续推进</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 27 (2010-2024)</div>	Day1 必背
subject	<div style='font-size:0.95em;color:#555'><b>n.</b> /ˈsʌbdʒɪkt/<br><b>v.</b> /səbˈdʒekt/</div><b>n.</b> 主题；学科；科目<br><b style='color:#c00'>v. 使服从（熟词僻义）</b><br><b>a.</b> 隶属的；易遭…的<br><span style='color:#888'>固定搭配: <b>subject X to Y</b> = 使 X 受到 Y</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>their comprehension of the <u>subject</u> matter</i><br><span style='color:#666'>他们对主题的理解</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 22 (2010-2024)</div>	Day1 必背 熟词僻义
digital	<div style='font-size:0.95em;color:#555'>/ˈdɪdʒɪtl/</div><b>a.</b> 数字的；数位的；手指的<br><b>n.</b> 数字<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>as scholarship has moved into the <u>digital</u> era</i><br><span style='color:#666'>随着学术研究进入数字时代</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 28 (2010-2024)</div>	Day1 必背
commission	<div style='font-size:0.95em;color:#555'>/kəˈmɪʃn/</div><b>n.</b> 委员会；委任，委托；佣金<br><b>v.</b> 委任，委托<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>A 2023 <u>commission</u> convened by the U.S. Federal Office...</i><br><span style='color:#666'>2023 年由美国联邦科技政策办公室召集的一个委员会……</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 18 (2010-2024)</div>	Day1 必背
