meritocratic	<div style='font-size:0.95em;color:#555'>/ˌmerɪtəˈkrætɪk/</div><b>a.</b> 精英统治的；任人唯贤的<br><span style='color:#888'>派生: meritocracy n. 精英统治 · merit n. 优点</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>have functioned as a paradigm of <u>meritocratic</u> admission</i><br><span style='color:#666'>已发挥着精英择优录取范式的作用</span></div>	Day5 支持词
admission	<div style='font-size:0.95em;color:#555'>/ədˈmɪʃn/</div><b>n.</b> 准入，录取；承认；入场费<br><span style='color:#888'>派生: admit v. · 搭配: admission to / college admission</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a paradigm of meritocratic <u>admission</u></i><br><span style='color:#666'>精英择优录取的范式</span></div>	Day5 支持词
ostensibly	<div style='font-size:0.95em;color:#555'>/ɒˈstensəbli/</div><b>ad.</b> 表面上；看似，貌似（暗含与实情不符）<br><span style='color:#888'>派生: ostensible a. 表面的 · 近: apparently, seemingly</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a single, <u>ostensibly</u> objective filter</i><br><span style='color:#666'>一个貌似客观的单一筛选器</span></div>	Day5 支持词
objective	<div style='font-size:0.95em;color:#555'>/əbˈdʒektɪv/</div><b>a.</b> 客观的<br><b>n.</b> 目标，目的<br><span style='color:#888'>反: subjective 主观的 · 派生: objectively ad.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>an ostensibly <u>objective</u> filter</i><br><span style='color:#666'>一个貌似客观的筛选器</span></div>	Day5 支持词
filter	<div style='font-size:0.95em;color:#555'>/ˈfɪltə/</div><b>n.</b> 过滤器；筛子<br><b>v.</b> 过滤；筛选<br><span style='color:#888'>搭配: filter out = 滤除 · filter through = 渗透</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>an ostensibly objective <u>filter</u></i><br><span style='color:#666'>一个貌似客观的筛选器</span></div>	Day5 支持词
applicant	<div style='font-size:0.95em;color:#555'>/ˈæplɪkənt/</div><b>n.</b> 申请人，申请者<br><span style='color:#888'>派生: apply v. / application n. · 搭配: applicant for/to</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>all <u>applicants</u> must pass</i><br><span style='color:#666'>所有申请者必须通过</span></div>	Day5 支持词
elite	<div style='font-size:0.95em;color:#555'>/eɪˈliːt/</div><b>n.</b> 精英，精锐<br><b>a.</b> 精锐的<br><span style='color:#888'>派生: elitism n. 精英主义 · 真题高频政治/教育语境</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>dozens of <u>elite</u> American universities</i><br><span style='color:#666'>数十所美国精英大学</span></div>	Day5 支持词
contest	<div style='font-size:0.95em;color:#555'><b>n.</b> /ˈkɒntest/<br><b>v.</b> /kənˈtest/</div><b>n.</b> 竞赛，比赛<br><b>v.</b> 争夺；<b>质疑，辩驳</b>（词性双发音）<br><span style='color:#888'>派生: contestant n. 参赛者 · 搭配: contest sth = 对…提出异议</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>into a <u>contest</u> they cannot win</i><br><span style='color:#666'>陷入一场他们注定输的竞赛</span></div>	Day5 支持词
authority	<div style='font-size:0.95em;color:#555'>/ɔːˈθɒrəti/</div><b>n.</b> 权威；权力；当局（pl. authorities）<br><span style='color:#888'>派生: authoritative a. 权威的 · 搭配: claim the authority of = 自诩…的权威</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>both sides claim the <u>authority</u> of fairness</i><br><span style='color:#666'>双方都自诩公平的权威</span></div>	Day5 支持词
persistent	<div style='font-size:0.95em;color:#555'>/pəˈsɪstənt/</div><b>a.</b> 持续的；顽固的；坚持不懈的<br><span style='color:#888'>派生: persist v. / persistence n. · 真题高频</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a <u>persistent</u> discrepancy between test scores and family income</i><br><span style='color:#666'>考试分数与家庭收入间持续存在的差异</span></div>	Day5 支持词
privilege	<div style='font-size:0.95em;color:#555'>/ˈprɪvəlɪdʒ/</div><b>n.</b> 特权；荣幸<br><b>v.</b> 给予特权<br><span style='color:#888'>派生: privileged a. 享有特权的 · 反: underprivileged</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a marker of <u>privilege</u> rather than aptitude</i><br><span style='color:#666'>特权而非能力的标记</span></div>	Day5 支持词
aptitude	<div style='font-size:0.95em;color:#555'>/ˈæptɪtjuːd/</div><b>n.</b> 天资；才能；倾向<br><span style='color:#888'>近: talent, ability · 搭配: aptitude test = 能力倾向测验</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a marker of privilege rather than <u>aptitude</u></i><br><span style='color:#666'>特权而非能力的标记</span></div>	Day5 支持词
rigor	<div style='font-size:0.95em;color:#555'>/ˈrɪɡə/</div><b>n.</b> 严谨；严格；严酷（美 = rigour 英）<br><span style='color:#888'>派生: rigorous a. · 搭配: academic/scientific rigor</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>abolishing tests would not diminish <u>rigor</u></i><br><span style='color:#666'>废除考试不会削弱严谨度</span></div>	Day5 支持词
terrain	<div style='font-size:0.95em;color:#555'>/təˈreɪn/</div><b>n.</b> 地形；地势；<b>领域，地带</b>（抽象义高频）<br><span style='color:#888'>近: ground, territory · 搭配: navigate the terrain = 驾驭(某领域)</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>shift the contest to <u>terrain</u> wealthier families navigate even better</i><br><span style='color:#666'>将竞争转移到富裕家庭更善驾驭的地带</span></div>	Day5 支持词
navigate	<div style='font-size:0.95em;color:#555'>/ˈnævɪɡeɪt/</div><b>v.</b> 导航；驾驭，应付（抽象义）；穿越<br><span style='color:#888'>派生: navigation n. · 搭配: navigate one's way through</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>terrain wealthier families <u>navigate</u> even better</i><br><span style='color:#666'>富裕家庭更善驾驭的地带</span></div>	Day5 支持词
subjective	<div style='font-size:0.95em;color:#555'>/səbˈdʒektɪv/</div><b>a.</b> 主观的，个人的<br><span style='color:#888'>反: objective · 派生: subjectivity n.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>Subjective</u> judgments — essays, interviews — fluctuate</i><br><span style='color:#666'>主观判断——论文、面试——会波动</span></div>	Day5 支持词
